initial_asset_price,volatility,asset_price,probability
10,0.100000,6.202434,0.000190
10,0.100000,7.066107,0.009750
10,0.100000,7.929781,0.097530
10,0.100000,8.793454,0.289210
10,0.100000,9.657128,0.341330
10,0.100000,10.520801,0.189030
10,0.100000,11.384474,0.059380
10,0.100000,12.248148,0.011780
10,0.100000,13.111821,0.001660
10,0.100000,13.975494,0.000140
10,0.144444,5.532380,0.001260
10,0.144444,6.713267,0.037650
10,0.144444,7.894155,0.195670
10,0.144444,9.075042,0.338580
10,0.144444,10.255930,0.262870
10,0.144444,11.436817,0.119260
10,0.144444,12.617705,0.036110
10,0.144444,13.798592,0.007280
10,0.144444,14.979480,0.001200
10,0.144444,16.160367,0.000120
10,0.188889,5.160063,0.009930
10,0.188889,6.884319,0.149220
10,0.188889,8.608574,0.368910
10,0.188889,10.332829,0.303710
10,0.188889,12.057085,0.125240
10,0.188889,13.781340,0.033990
10,0.188889,15.505595,0.007450
10,0.188889,17.229851,0.001370
10,0.188889,18.954106,0.000140
10,0.188889,20.678361,0.000040
10,0.233333,4.629022,0.021830
10,0.233333,6.957394,0.267400
10,0.233333,9.285765,0.409010
10,0.233333,11.614137,0.217570
10,0.233333,13.942508,0.065520
10,0.233333,16.270880,0.015180
10,0.233333,18.599251,0.002910
10,0.233333,20.927623,0.000500
10,0.233333,23.255994,0.000070
10,0.233333,25.584366,0.000010
10,0.277778,4.009904,0.026050
10,0.277778,6.632450,0.279710
10,0.277778,9.254997,0.390470
10,0.277778,11.877543,0.209630
10,0.277778,14.500089,0.069700
10,0.277778,17.122636,0.018120
10,0.277778,19.745182,0.004950
10,0.277778,22.367728,0.001000
10,0.277778,24.990275,0.000290
10,0.277778,27.612821,0.000080
10,0.322222,4.108476,0.106180
10,0.322222,7.950637,0.502270
10,0.322222,11.792798,0.294080
10,0.322222,15.634959,0.077370
10,0.322222,19.477119,0.016300
10,0.322222,23.319280,0.003090
10,0.322222,27.161441,0.000500
10,0.322222,31.003602,0.000180
10,0.322222,34.845763,0.000020
10,0.322222,38.687924,0.000010
10,0.366667,3.853799,0.131450
10,0.366667,7.938231,0.492030
10,0.366667,12.022664,0.271590
10,0.366667,16.107096,0.079380
10,0.366667,20.191528,0.019420
10,0.366667,24.275961,0.004690
10,0.366667,28.360393,0.001030
10,0.366667,32.444825,0.000310
10,0.366667,36.529258,0.000070
10,0.366667,40.613690,0.000030
10,0.411111,3.698572,0.181220
10,0.411111,8.352490,0.507310
10,0.411111,13.006409,0.226320
10,0.411111,17.660327,0.063790
10,0.411111,22.314246,0.015470
10,0.411111,26.968165,0.004250
