initial_asset_price,volatility,asset_price,probability
15,0.000000,12.937176,1.000000
15,0.111111,12.935815,1.000000
15,0.222222,12.934923,1.000000
15,0.333333,12.937808,1.000000
15,0.444444,12.942920,1.000000
15,0.555556,12.942190,1.000000
15,0.666667,12.939141,1.000000
15,0.777778,12.927841,1.000000
15,0.888889,12.941285,1.000000
15,1.000000,12.939400,1.000000
46,0.000000,40.248991,1.000000
46,0.111111,40.252397,1.000000
46,0.222222,40.250265,1.000000
46,0.333333,40.259570,1.000000
46,0.444444,40.223406,1.000000
46,0.555556,40.250074,1.000000
46,0.666667,40.227866,1.000000
46,0.777778,40.259771,1.000000
46,0.888889,40.232613,1.000000
46,1.000000,40.282909,1.000000
78,0.000000,67.560806,1.000000
78,0.111111,67.551735,1.000000
78,0.222222,67.553703,1.000000
78,0.333333,67.555683,1.000000
78,0.444444,67.581789,1.000000
78,0.555556,67.589101,1.000000
78,0.666667,67.568771,1.000000
78,0.777778,67.577124,1.000000
78,0.888889,67.509954,1.000000
78,1.000000,67.563672,1.000000
110,0.000000,94.872621,1.000000
110,0.111111,94.874776,1.000000
110,0.222222,94.887873,1.000000
110,0.333333,94.900832,1.000000
110,0.444444,94.840788,1.000000
110,0.555556,94.895716,1.000000
110,0.666667,94.789287,1.000000
110,0.777778,94.869890,1.000000
110,0.888889,94.892476,1.000000
110,1.000000,94.785971,1.000000
141,0.000000,122.184436,1.000000
141,0.111111,122.197788,1.000000
141,0.222222,122.198051,1.000000
141,0.333333,122.224279,1.000000
141,0.444444,122.206830,1.000000
141,0.555556,122.254028,1.000000
141,0.666667,122.183231,1.000000
141,0.777778,122.302837,1.000000
141,0.888889,122.161302,1.000000
141,1.000000,122.221784,1.000000
173,0.000000,149.496251,1.000000
173,0.111111,149.515338,1.000000
173,0.222222,149.563238,1.000000
173,0.333333,149.504672,1.000000
173,0.444444,149.511871,1.000000
173,0.555556,149.555260,1.000000
173,0.666667,149.472895,1.000000
173,0.777778,149.508090,1.000000
173,0.888889,149.474226,1.000000
173,1.000000,149.509910,1.000000
205,0.000000,176.808066,1.000000
205,0.111111,176.802314,1.000000
205,0.222222,176.807026,1.000000
205,0.333333,176.777306,1.000000
205,0.444444,176.730835,1.000000
205,0.555556,176.870798,1.000000
205,0.666667,176.762582,1.000000
205,0.777778,177.016481,1.000000
205,0.888889,176.704377,1.000000
205,1.000000,176.659516,1.000000
236,0.000000,204.119882,1.000000
236,0.111111,204.080953,1.000000
236,0.222222,204.112778,1.000000
236,0.333333,204.178919,1.000000
236,0.444444,204.189442,1.000000
236,0.555556,204.069094,1.000000
236,0.666667,204.069464,1.000000
236,0.777778,204.188332,1.000000
236,0.888889,204.220682,1.000000
236,1.000000,204.039065,1.000000
268,0.000000,231.431697,1.000000
268,0.111111,231.427112,1.000000
268,0.222222,231.423850,1.000000
268,0.333333,231.414646,1.000000
268,0.444444,231.385514,1.000000
268,0.555556,231.283773,1.000000
268,0.666667,231.560539,1.000000
268,0.777778,231.336404,1.000000
268,0.888889,231.488857,1.000000
268,1.000000,231.535668,1.000000
300,0.000000,258.743512,1.000000
300,0.111111,258.746892,1.000000
300,0.222222,258.739688,1.000000
300,0.333333,258.668959,1.000000
300,0.444444,258.765682,1.000000
300,0.555556,258.952764,1.000000
300,0.666667,258.798150,1.000000
300,0.777778,258.550573,1.000000
300,0.888889,258.715681,1.000000
300,1.000000,258.763512,1.000000
